Code,Area,Tax_Year,Mean_Income,Median_Income,Number_of_Individuals,Year,Merge_Key
E09000017,Hillingdon,2022-23,42200.0,31900.0,162000.0,2022,HILLINGDON
E09000017,Hillingdon,2023-24,45000.0,34700.0,171000.0,2023,HILLINGDON
E09000018,Hounslow,2018-19,42000.0,27800.0,140000.0,2018,HOUNSLOW
E09000018,Hounslow,2019-20,41700.0,27500.0,136000.0,2019,HOUNSLOW
E09000018,Hounslow,2020-21,43000.0,28500.0,135000.0,2020,HOUNSLOW
E09000018,Hounslow,2021-22,45400.0,29300.0,140000.0,2021,HOUNSLOW
E09000018,Hounslow,2022-23,46000.0,30600.0,149000.0,2022,HOUNSLOW
E09000018,Hounslow,2023-24,47100.0,31900.0,159000.0,2023,HOUNSLOW
E09000019,Islington,2018-19,63900.0,35100.0,113000.0,2018,ISLINGTON
E09000019,Islington,2019-20,66100.0,36400.0,109000.0,2019,ISLINGTON
E09000019,Islington,2020-21,70100.0,35600.0,107000.0,2020,ISLINGTON
E09000019,Islington,2021-22,76600.0,38200.0,110000.0,2021,ISLINGTON
E09000019,Islington,2022-23,76000.0,40300.0,116000.0,2022,ISLINGTON
E09000019,Islington,2023-24,79000.0,40800.0,121000.0,2023,ISLINGTON
E09000020,Kensington and Chelsea,2018-19,173000.0,39300.0,72000.0,2018,KENSINGTON AND CHELSEA
E09000020,Kensington and Chelsea,2019-20,185000.0,42100.0,67000.0,2019,KENSINGTON AND CHELSEA
E09000020,Kensington and Chelsea,2020-21,198000.0,43300.0,69000.0,2020,KENSINGTON AND CHELSEA
E09000020,Kensington and Chelsea,2021-22,208000.0,43900.0,68000.0,2021,KENSINGTON AND CHELSEA
E09000020,Kensington and Chelsea,2022-23,209000.0,47700.0,70000.0,2022,KENSINGTON AND CHELSEA
E09000020,Kensington and Chelsea,2023-24,209000.0,47800.0,74000.0,2023,KENSINGTON AND CHELSEA
E09000021,Kingston-upon-Thames,2018-19,50300.0,33300.0,84000.0,2018,KINGSTON UPON THAMES
E09000021,Kingston-upon-Thames,2019-20,50500.0,33500.0,84000.0,2019,KINGSTON UPON THAMES
E09000021,Kingston-upon-Thames,2020-21,54000.0,34700.0,81000.0,2020,KINGSTON UPON THAMES
E09000021,Kingston-upon-Thames,2021-22,56500.0,35900.0,82000.0,2021,KINGSTON UPON THAMES
E09000021,Kingston-upon-Thames,2022-23,57300.0,37300.0,91000.0,2022,KINGSTON UPON THAMES
E09000021,Kingston-upon-Thames,2023-24,61000.0,40800.0,90000.0,2023,KINGSTON UPON THAMES
E09000022,Lambeth,2018-19,47500.0,31900.0,170000.0,2018,LAMBETH
E09000022,Lambeth,2019-20,49100.0,31900.0,168000.0,2019,LAMBETH
E09000022,Lambeth,2020-21,51900.0,32800.0,167000.0,2020,LAMBETH
E09000022,Lambeth,2021-22,56100.0,34500.0,169000.0,2021,LAMBETH
E09000022,Lambeth,2022-23,57900.0,35800.0,179000.0,2022,LAMBETH
E09000022,Lambeth,2023-24,61300.0,39300.0,186000.0,2023,LAMBETH
E09000023,Lewisham,2018-19,38000.0,27900.0,140000.0,2018,LEWISHAM
E09000023,Lewisham,2019-20,41100.0,30100.0,139000.0,2019,LEWISHAM
E09000023,Lewisham,2020-21,42600.0,30900.0,141000.0,2020,LEWISHAM
E09000023,Lewisham,2021-22,44800.0,32000.0,149000.0,2021,LEWISHAM
E09000023,Lewisham,2022-23,48300.0,34500.0,152000.0,2022,LEWISHAM
E09000023,Lewisham,2023-24,49500.0,34600.0,158000.0,2023,LEWISHAM
E09000024,Merton,2018-19,56300.0,30300.0,108000.0,2018,MERTON
E09000024,Merton,2019-20,55300.0,30300.0,112000.0,2019,MERTON
E09000024,Merton,2020-21,58500.0,32600.0,112000.0,2020,MERTON
E09000024,Merton,2021-22,63000.0,33900.0,114000.0,2021,MERTON
E09000024,Merton,2022-23,65600.0,36400.0,122000.0,2022,MERTON
E09000024,Merton,2023-24,65700.0,37000.0,127000.0,2023,MERTON
E09000025,Newham,2018-19,31000.0,24300.0,154000.0,2018,NEWHAM
E09000025,Newham,2019-20,31700.0,24600.0,158000.0,2019,NEWHAM
E09000025,Newham,2020-21,34300.0,26600.0,144000.0,2020,NEWHAM
E09000025,Newham,2021-22,36100.0,28300.0,146000.0,2021,NEWHAM
E09000025,Newham,2022-23,37200.0,28900.0,165000.0,2022,NEWHAM
E09000025,Newham,2023-24,38800.0,29800.0,179000.0,2023,NEWHAM
E09000026,Redbridge,2018-19,37100.0,27300.0,138000.0,2018,REDBRIDGE
E09000026,Redbridge,2019-20,38500.0,28900.0,138000.0,2019,REDBRIDGE
E09000026,Redbridge,2020-21,40300.0,30400.0,139000.0,2020,REDBRIDGE
E09000026,Redbridge,2021-22,42700.0,31200.0,138000.0,2021,REDBRIDGE
E09000026,Redbridge,2022-23,44200.0,31200.0,145000.0,2022,REDBRIDGE
E09000026,Redbridge,2023-24,44600.0,32100.0,160000.0,2023,REDBRIDGE
E09000027,Richmond-upon-Thames,2018-19,73800.0,37600.0,105000.0,2018,RICHMOND UPON THAMES
E09000027,Richmond-upon-Thames,2019-20,77400.0,38900.0,104000.0,2019,RICHMOND UPON THAMES
E09000027,Richmond-upon-Thames,2020-21,77900.0,39500.0,106000.0,2020,RICHMOND UPON THAMES
E09000027,Richmond-upon-Thames,2021-22,90400.0,44000.0,104000.0,2021,RICHMOND UPON THAMES
E09000027,Richmond-upon-Thames,2022-23,92200.0,45300.0,106000.0,2022,RICHMOND UPON THAMES
E09000027,Richmond-upon-Thames,2023-24,96000.0,48100.0,110000.0,2023,RICHMOND UPON THAMES
E09000028,Southwark,2018-19,49400.0,31400.0,158000.0,2018,SOUTHWARK
E09000028,Southwark,2019-20,53400.0,33500.0,152000.0,2019,SOUTHWARK
E09000028,Southwark,2020-21,55300.0,33900.0,146000.0,2020,SOUTHWARK
E09000028,Southwark,2021-22,57800.0,34400.0,156000.0,2021,SOUTHWARK
E09000028,Southwark,2022-23,59400.0,36200.0,166000.0,2022,SOUTHWARK
E09000028,Southwark,2023-24,63000.0,38300.0,172000.0,2023,SOUTHWARK
E09000029,Sutton,2018-19,38500.0,29700.0,101000.0,2018,SUTTON
E09000029,Sutton,2019-20,40200.0,30200.0,102000.0,2019,SUTTON
E09000029,Sutton,2020-21,41400.0,31400.0,100000.0,2020,SUTTON
E09000029,Sutton,2021-22,45200.0,33300.0,102000.0,2021,SUTTON
E09000029,Sutton,2022-23,44400.0,33400.0,110000.0,2022,SUTTON
E09000029,Sutton,2023-24,46300.0,34400.0,112000.0,2023,SUTTON
E09000030,Tower Hamlets,2018-19,49300.0,31100.0,136000.0,2018,TOWER HAMLETS
E09000030,Tower Hamlets,2019-20,50100.0,32700.0,140000.0,2019,TOWER HAMLETS
E09000030,Tower Hamlets,2020-21,52700.0,34100.0,139000.0,2020,TOWER HAMLETS
E09000030,Tower Hamlets,2021-22,55500.0,35500.0,147000.0,2021,TOWER HAMLETS
E09000030,Tower Hamlets,2022-23,57100.0,37300.0,158000.0,2022,TOWER HAMLETS
E09000030,Tower Hamlets,2023-24,59300.0,38700.0,166000.0,2023,TOWER HAMLETS
E09000031,Waltham Forest,2018-19,33700.0,26800.0,134000.0,2018,WALTHAM FOREST
E09000031,Waltham Forest,2019-20,34900.0,27700.0,139000.0,2019,WALTHAM FOREST
E09000031,Waltham Forest,2020-21,37100.0,28900.0,133000.0,2020,WALTHAM FOREST
E09000031,Waltham Forest,2021-22,40100.0,30900.0,140000.0,2021,WALTHAM FOREST
E09000031,Waltham Forest,2022-23,41400.0,32500.0,140000.0,2022,WALTHAM FOREST
E09000031,Waltham Forest,2023-24,43400.0,33700.0,152000.0,2023,WALTHAM FOREST
E09000032,Wandsworth,2018-19,70400.0,37100.0,168000.0,2018,WANDSWORTH
E09000032,Wandsworth,2019-20,72400.0,38900.0,172000.0,2019,WANDSWORTH
E09000032,Wandsworth,2020-21,75300.0,39000.0,168000.0,2020,WANDSWORTH
E09000032,Wandsworth,2021-22,79700.0,40200.0,182000.0,2021,WANDSWORTH
E09000032,Wandsworth,2022-23,81500.0,42200.0,190000.0,2022,WANDSWORTH
E09000032,Wandsworth,2023-24,83700.0,43100.0,202000.0,2023,WANDSWORTH
E09000033,Westminster,2018-19,120000.0,39200.0,102000.0,2018,WESTMINSTER
E09000033,Westminster,2019-20,118000.0,39900.0,98000.0,2019,WESTMINSTER
E09000033,Westminster,2020-21,123000.0,42100.0,100000.0,2020,WESTMINSTER
E09000033,Westminster,2021-22,133000.0,41200.0,102000.0,2021,WESTMINSTER
E09000033,Westminster,2022-23,133000.0,42600.0,106000.0,2022,WESTMINSTER
E09000033,Westminster,2023-24,138000.0,47400.0,110000.0,2023,WESTMINSTER
